experiment,model,feature_set,train_windows,n,accuracy,precision,recall,f1,f2,fpr,tp,tn,fp,fn,adaptation_sinkhole_seeds,adaptation_windows,adaptation_seeds,test_seeds
adapt_3_sinkhole_seeds,gaussian,coarse_plus_routing,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"234567,345678,456789","123456,567890"
adapt_3_sinkhole_seeds,gaussian,coarse_plus_routing,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"234567,345678,567890","123456,456789"
adapt_3_sinkhole_seeds,gaussian,coarse_plus_routing,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"234567,456789,567890","123456,345678"
adapt_3_sinkhole_seeds,gaussian,coarse_plus_routing,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"345678,456789,567890","123456,234567"
adapt_0_sinkhole_seeds,cart,coarse,90,90,0.7222,0,0.0,0,0,0.0,0,65,0,25,0,0,,"123456,234567,345678,456789,567890"
adapt_1_sinkhole_seeds,cart,coarse,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,123456,"234567,345678,456789,567890"
adapt_1_sinkhole_seeds,cart,coarse,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,234567,"123456,345678,456789,567890"
adapt_1_sinkhole_seeds,cart,coarse,108,72,0.7361,1.0,0.05,0.0952,0.0617,0.0,1,52,0,19,1,18,345678,"123456,234567,456789,567890"
adapt_1_sinkhole_seeds,cart,coarse,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,456789,"123456,234567,345678,567890"
adapt_1_sinkhole_seeds,cart,coarse,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,567890,"123456,234567,345678,456789"
adapt_2_sinkhole_seeds,cart,coarse,126,54,0.7222,0,0.0,0,0,0.0,0,39,0,15,2,36,"123456,234567","345678,456789,567890"
adapt_2_sinkhole_seeds,cart,coarse,126,54,0.7407,1.0,0.0667,0.125,0.082,0.0,1,39,0,14,2,36,"123456,345678","234567,456789,567890"
adapt_2_sinkhole_seeds,cart,coarse,126,54,0.7222,0,0.0,0,0,0.0,0,39,0,15,2,36,"123456,456789","234567,345678,567890"
adapt_2_sinkhole_seeds,cart,coarse,126,54,0.7222,0,0.0,0,0,0.0,0,39,0,15,2,36,"123456,567890","234567,345678,456789"
adapt_2_sinkhole_seeds,cart,coarse,126,54,0.7593,1.0,0.1333,0.2353,0.1613,0.0,2,39,0,13,2,36,"234567,345678","123456,456789,567890"
adapt_2_sinkhole_seeds,cart,coarse,126,54,0.7963,1.0,0.2667,0.4211,0.3125,0.0,4,39,0,11,2,36,"234567,456789","123456,345678,567890"
adapt_2_sinkhole_seeds,cart,coarse,126,54,0.7593,0.6667,0.2667,0.381,0.303,0.0513,4,37,2,11,2,36,"234567,567890","123456,345678,456789"
