run_id,family,mode,binary_run_label,window_label,nodes,seed,window_start_s,window_end_s,post_activation,app_tx_delta,app_rx_delta,app_missed_delta,app_reporting_nodes,parent_found_events,no_parent_events,radio_tx_count,radio_bytes,radio_interfered_count,unique_radio_senders,attacker_node16_radio_tx,root_node1_radio_tx,sinkhole_attack_enabled_events,sinkhole_advertised_rank_events,blackhole_attack_enabled_events,blackhole_drop_events
BH_CONTROL_N16_SEED234567,blackhole,control,0,0,16,234567,0,60,0,0,0,0,0,0,0,611,27199,1316,16,184,88,0,0,0,0
BH_CONTROL_N16_SEED234567,blackhole,control,0,0,16,234567,60,120,0,0,0,0,0,0,0,1073,40168,2230,16,342,170,0,0,0,0
BH_CONTROL_N16_SEED234567,blackhole,control,0,0,16,234567,120,180,0,140,140,0,14,0,0,1072,39625,2230,16,343,175,0,0,0,0
BH_CONTROL_N16_SEED234567,blackhole,control,0,0,16,234567,180,240,0,60,60,0,6,0,0,1031,37414,2100,16,337,171,0,0,0,0
BH_CONTROL_N16_SEED234567,blackhole,control,0,0,16,234567,240,300,1,80,80,0,8,0,0,1058,39279,2194,16,338,171,0,0,0,0
BH_CONTROL_N16_SEED234567,blackhole,control,0,0,16,234567,300,360,1,120,120,0,12,0,0,989,35775,2030,16,324,165,0,0,0,0
BH_CONTROL_N16_SEED234567,blackhole,control,0,0,16,234567,360,420,1,20,20,0,2,0,0,1044,38066,2154,16,338,169,0,0,0,0
BH_CONTROL_N16_SEED234567,blackhole,control,0,0,16,234567,420,480,1,140,140,0,14,0,0,1055,38768,2182,16,340,174,0,0,0,0
BH_CONTROL_N16_SEED234567,blackhole,control,0,0,16,234567,480,540,1,60,60,0,6,0,0,1073,39226,2195,16,347,172,0,0,0,0
BH_CONTROL_N16_SEED345678,blackhole,control,0,0,16,345678,0,60,0,0,0,0,0,0,0,596,26481,1300,16,178,87,0,0,0,0
BH_CONTROL_N16_SEED345678,blackhole,control,0,0,16,345678,60,120,0,0,0,0,0,0,0,1074,40361,2250,16,342,172,0,0,0,0
BH_CONTROL_N16_SEED345678,blackhole,control,0,0,16,345678,120,180,0,140,139,0,14,0,0,1054,39044,2212,16,336,170,0,0,0,0
BH_CONTROL_N16_SEED345678,blackhole,control,0,0,16,345678,180,240,0,40,40,0,4,0,0,1050,38894,2266,16,338,174,0,0,0,0
BH_CONTROL_N16_SEED345678,blackhole,control,0,0,16,345678,240,300,1,100,100,0,10,0,0,1087,40173,2267,16,351,177,0,0,0,0
BH_CONTROL_N16_SEED345678,blackhole,control,0,0,16,345678,300,360,1,110,110,0,11,0,0,1040,37966,2211,16,335,169,0,0,0,0
BH_CONTROL_N16_SEED345678,blackhole,control,0,0,16,345678,360,420,1,30,30,0,3,0,0,1048,38020,2171,16,340,172,0,0,0,0
BH_CONTROL_N16_SEED345678,blackhole,control,0,0,16,345678,420,480,1,140,140,0,14,0,0,1045,38334,2170,16,340,171,0,0,0,0
BH_CONTROL_N16_SEED345678,blackhole,control,0,0,16,345678,480,540,1,50,50,0,5,0,0,1031,37821,2141,16,333,169,0,0,0,0
BH_CONTROL_N16_SEED456789,blackhole,control,0,0,16,456789,0,60,0,0,0,0,0,0,0,537,24301,1226,16,162,81,0,0,0,0
BH_CONTROL_N16_SEED456789,blackhole,control,0,0,16,456789,60,120,0,0,0,0,0,0,0,1080,40683,2392,16,340,172,0,0,0,0
BH_CONTROL_N16_SEED456789,blackhole,control,0,0,16,456789,120,180,0,140,140,0,14,0,0,1092,40371,2467,16,353,178,0,0,0,0
BH_CONTROL_N16_SEED456789,blackhole,control,0,0,16,456789,180,240,0,40,40,0,4,0,0,1043,38137,2348,16,339,169,0,0,0,0
BH_CONTROL_N16_SEED456789,blackhole,control,0,0,16,456789,240,300,1,100,100,0,10,0,0,1021,37550,2259,16,331,166,0,0,0,0
BH_CONTROL_N16_SEED456789,blackhole,control,0,0,16,456789,300,360,1,100,100,0,10,0,0,1047,38185,2328,16,340,169,0,0,0,0
BH_CONTROL_N16_SEED456789,blackhole,control,0,0,16,456789,360,420,1,40,40,0,4,0,0,1038,37730,2278,16,336,173,0,0,0,0
BH_CONTROL_N16_SEED456789,blackhole,control,0,0,16,456789,420,480,1,140,140,0,14,0,0,1049,38526,2336,16,339,170,0,0,0,0
BH_CONTROL_N16_SEED456789,blackhole,control,0,0,16,456789,480,540,1,30,29,0,3,0,0,1014,36825,2255,16,330,165,0,0,0,0
BH_CONTROL_N16_SEED567890,blackhole,control,0,0,16,567890,0,60,0,0,0,0,0,0,0,591,26793,1311,16,176,84,0,0,0,0
BH_CONTROL_N16_SEED567890,blackhole,control,0,0,16,567890,60,120,0,0,0,0,0,0,0,1056,39820,2186,16,336,169,0,0,0,0
BH_CONTROL_N16_SEED567890,blackhole,control,0,0,16,567890,120,180,0,140,140,0,14,0,0,1053,38794,2142,16,338,169,0,0,0,0
BH_CONTROL_N16_SEED567890,blackhole,control,0,0,16,567890,180,240,0,40,40,0,4,0,0,1055,38466,2164,16,344,171,0,0,0,0
BH_CONTROL_N16_SEED567890,blackhole,control,0,0,16,567890,240,300,1,100,100,0,10,0,0,1069,39484,2180,16,339,170,0,0,0,0
BH_CONTROL_N16_SEED567890,blackhole,control,0,0,16,567890,300,360,1,130,130,0,13,0,0,1040,37680,2129,16,339,171,0,0,0,0
