run_id,family,mode,binary_run_label,window_label,nodes,seed,window_start_s,window_end_s,post_activation,app_tx_delta,app_rx_delta,app_missed_delta,app_reporting_nodes,radio_tx_count,radio_bytes,radio_interfered_count,unique_radio_senders,attacker_node16_radio_tx,root_node1_radio_tx,dio_rx_count,dio_tx_count,dis_rx_count,dis_tx_count,dao_rx_count,dao_tx_count,parent_switch_count,parent_switch_to_root_count,parent_switch_to_nonroot_count,unique_parent_targets,parent_found_events,no_parent_events,significant_rank_update_count,unique_dio_senders,unique_dio_receivers,dio_rx_rank_min,dio_rx_rank_mean,dio_rx_rank_max,dio_rx_rank_range,dio_rx_nonroot_count,dio_rx_nonroot_rank_min,dio_rx_nonroot_rank_mean,dio_rx_nonroot_rank_max,dio_rx_nonroot_rank_range,dio_rx_low_rank_nonroot_count,unique_low_rank_nonroot_senders,dio_tx_rank_mean,state_nonroot_rank_min,state_nonroot_rank_mean,state_nonroot_rank_max,state_nonroot_rank_range,state_low_rank_nonroot_pairs,state_low_rank_nonroot_senders,state_receivers_exposed_low_rank_nonroot,own_state_sample_count,own_rank_min,own_rank_mean,own_rank_max,own_rank_range,own_neighbor_count_mean,own_neighbor_count_max,topology_edge_count,topology_unique_parents,topology_max_parent_fanout,topology_root_direct_children,topology_mean_depth,topology_max_depth,sinkhole_attack_enabled_events,sinkhole_advertised_rank_events,blackhole_attack_enabled_events,blackhole_drop_events
BH_ATTACK_N16_SEED567890,blackhole,attack,1,0,16,567890,0,60,0,0,0,0,0,591,26793,1311,16,176,84,337,99,45,15,15,30,15,1,14,7,15,15,0,16,16,128,12515.6499,65535,65407,333,271,12664.4505,65535,65264,0,0,41231.9899,271,619.3465,837,566,0,0,0,15,338,681.7333,901,563,2.4,4,0,0,0,0,0.0,0,0,0,0,0
BH_ATTACK_N16_SEED567890,blackhole,attack,1,0,16,567890,60,120,0,0,0,0,0,1056,39820,2186,16,336,169,302,41,0,0,0,0,0,0,0,0,0,0,0,16,16,128,604.2351,829,701,301,256,605.8173,829,573,0,0,582.4634,256,543.9225,711,455,0,0,0,16,128,578.75,837,709,8.0,12,15,7,4,1,2.8667,4,0,0,0,0
BH_ATTACK_N16_SEED567890,blackhole,attack,1,0,16,567890,120,180,0,140,140,0,14,1053,38794,2142,16,338,169,139,25,0,0,0,0,0,0,0,0,0,0,0,15,16,256,520.9209,691,435,139,256,520.9209,691,435,0,0,541.44,256,516.031,669,413,0,0,0,16,128,507.5625,705,577,8.125,13,15,7,4,1,2.8667,4,0,0,0,0
BH_ATTACK_N16_SEED567890,blackhole,attack,1,0,16,567890,180,240,0,40,40,0,4,1055,38466,2164,16,344,171,30,16,0,0,0,0,0,0,0,0,0,0,0,14,11,128,435.8667,656,528,29,384,446.4828,656,272,0,0,481.25,256,515.1705,669,413,0,0,0,16,128,484.875,666,538,8.125,13,15,7,4,1,2.8667,4,0,0,0,0
BH_ATTACK_N16_SEED567890,blackhole,attack,1,1,16,567890,240,300,1,100,89,0,10,385,14164,981,15,86,0,119,26,0,0,0,0,0,0,0,0,0,0,0,15,16,256,513.7143,649,393,119,256,513.7143,649,393,0,0,514.3077,256,505.8992,662,406,0,0,0,16,128,480.3125,652,524,8.125,13,15,7,4,1,2.8667,4,0,0,1,85
BH_ATTACK_N16_SEED567890,blackhole,attack,1,1,16,567890,300,360,1,130,5,0,13,357,12303,892,15,83,0,16,9,0,0,0,0,0,0,0,0,0,0,0,9,9,384,593.8125,642,258,16,384,593.8125,642,258,0,0,556.5556,256,504.7132,649,393,0,0,0,16,128,476.8125,645,517,8.125,13,15,7,4,1,2.8667,4,0,0,0,83
BH_ATTACK_N16_SEED567890,blackhole,attack,1,1,16,567890,360,420,1,10,0,0,1,369,12826,958,16,88,1,12,12,0,0,0,0,0,0,0,0,0,0,0,12,8,128,472.75,665,537,11,384,504.0909,665,281,0,0,472.75,256,504.3488,665,409,0,0,0,16,128,473.625,640,512,8.125,13,15,7,4,1,2.8667,4,0,0,0,85
BH_ATTACK_N16_SEED567890,blackhole,attack,1,1,16,567890,420,480,1,140,0,0,14,367,13012,924,15,85,0,58,17,0,0,0,0,0,0,0,0,0,0,0,12,15,384,482.2414,650,266,58,384,482.2414,650,266,0,0,500.8235,256,505.5736,665,409,0,0,0,16,128,474.5,659,531,8.125,13,15,7,4,1,2.8667,4,0,0,0,84
BH_ATTACK_N16_SEED567890,blackhole,attack,1,1,16,567890,480,540,1,40,0,0,4,372,13320,931,15,87,0,80,19,0,0,0,0,0,0,0,0,0,0,0,14,16,256,511.9875,657,401,80,256,511.9875,657,401,0,0,529.8421,256,503.4109,657,401,0,0,0,16,128,475.9375,658,530,8.125,13,15,7,4,1,2.8667,4,0,0,0,86
BH_CONTROL_N16_SEED123456,blackhole,control,0,0,16,123456,0,60,0,0,0,0,0,623,27507,1290,16,188,90,333,96,51,14,15,30,15,1,14,5,15,15,0,16,16,128,12093.4715,65535,65407,329,258,12238.9483,65535,65277,0,0,40482.2396,258,1151.112,65535,65277,0,0,0,15,338,688.0667,899,561,2.4667,5,0,0,0,0,0.0,0,0,0,0,0
