model,source_family,target_family,adaptation_seed_count,adaptation_seeds,evaluation_seeds,features_used,source_runs,adaptation_runs,evaluation_runs,train_windows,test_windows,accuracy,precision,recall,f1,fpr,tp,tn,fp,fn
cart,dis_flood,blackhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,dis_flood,blackhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,dis_flood,dio_suppression,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,dis_flood,dio_suppression,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.7222,0.0,0.0,0.0,0.0,0,52,0,20
cart,dis_flood,dio_suppression,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.7222,0.0,0.0,0.0,0.0,0,39,0,15
cart,dis_flood,dio_suppression,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.7222,0.0,0.0,0.0,0.0,0,26,0,10
cart,dis_flood,grayhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,dis_flood,grayhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.9444,1.0,0.8,0.8889,0.0,16,52,0,4
cart,dis_flood,grayhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.9815,1.0,0.9333,0.9655,0.0,14,39,0,1
cart,dis_flood,grayhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,dis_flood,increase_rank,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,dis_flood,increase_rank,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.9167,1.0,0.7,0.8235,0.0,14,52,0,6
cart,dis_flood,increase_rank,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.8889,1.0,0.6,0.75,0.0,9,39,0,6
cart,dis_flood,increase_rank,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.9167,1.0,0.7,0.8235,0.0,7,26,0,3
cart,dis_flood,sinkhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,dis_flood,sinkhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,dis_flood,sinkhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,dis_flood,sinkhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,dis_flood,sybil,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cart,dis_flood,sybil,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,dis_flood,sybil,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,dis_flood,sybil,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,dis_flood,wormhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,dis_flood,wormhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,dis_flood,wormhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,dis_flood,wormhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,dis_flood,worst_parent,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cart,dis_flood,worst_parent,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,dis_flood,worst_parent,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,dis_flood,worst_parent,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,grayhole,blackhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cart,grayhole,blackhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,grayhole,blackhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,grayhole,blackhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,grayhole,dio_suppression,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,grayhole,dio_suppression,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.7222,0.0,0.0,0.0,0.0,0,52,0,20
cart,grayhole,dio_suppression,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.7222,0.0,0.0,0.0,0.0,0,39,0,15
cart,grayhole,dio_suppression,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.7222,0.0,0.0,0.0,0.0,0,26,0,10
cart,grayhole,dis_flood,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,grayhole,dis_flood,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,grayhole,dis_flood,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,grayhole,dis_flood,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,grayhole,increase_rank,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7444,1.0,0.08,0.1481,0.0,2,65,0,23
cart,grayhole,increase_rank,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.875,1.0,0.55,0.7097,0.0,11,52,0,9
cart,grayhole,increase_rank,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.8519,1.0,0.4667,0.6364,0.0,7,39,0,8
cart,grayhole,increase_rank,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.8611,1.0,0.5,0.6667,0.0,5,26,0,5
cart,grayhole,sinkhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,grayhole,sinkhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,grayhole,sinkhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,grayhole,sinkhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,grayhole,sybil,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,grayhole,sybil,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,grayhole,sybil,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,grayhole,sybil,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,grayhole,wormhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,grayhole,wormhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,grayhole,wormhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,grayhole,wormhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,grayhole,worst_parent,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7333,1.0,0.04,0.0769,0.0,1,65,0,24
cart,grayhole,worst_parent,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
