evaluation,model,train_family,test_family,features_used,train_runs,test_runs,train_windows,test_windows,accuracy,precision,recall,f1,fpr,tp,tn,fp,fn
cross_attack,cart,grayhole,wormhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,grayhole,worst_parent,69,10,10,90,90,0.7333,1.0,0.04,0.0769,0.0,1,65,0,24
cross_attack,cart,increase_rank,blackhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,increase_rank,dio_suppression,69,10,10,90,90,0.7222,0.5,0.28,0.359,0.1077,7,58,7,18
cross_attack,cart,increase_rank,dis_flood,69,10,10,90,90,0.7,0.4167,0.2,0.2703,0.1077,5,58,7,20
cross_attack,cart,increase_rank,grayhole,69,10,10,90,90,0.7,0.4167,0.2,0.2703,0.1077,5,58,7,20
in_domain,cart,increase_rank,increase_rank,69,10,10,90,90,0.9,0.7667,0.92,0.8364,0.1077,23,58,7,2
cross_attack,cart,increase_rank,sinkhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,increase_rank,sybil,69,10,10,90,90,0.7,0.4167,0.2,0.2703,0.1077,5,58,7,20
cross_attack,cart,increase_rank,wormhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,increase_rank,worst_parent,69,10,10,90,90,0.9222,0.7812,1.0,0.8772,0.1077,25,58,7,0
cross_attack,cart,sinkhole,blackhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sinkhole,dio_suppression,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sinkhole,dis_flood,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sinkhole,grayhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sinkhole,increase_rank,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,cart,sinkhole,sinkhole,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,sinkhole,sybil,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sinkhole,wormhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sinkhole,worst_parent,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sybil,blackhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sybil,dio_suppression,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sybil,dis_flood,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,sybil,grayhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sybil,increase_rank,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sybil,sinkhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,cart,sybil,sybil,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,sybil,wormhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sybil,worst_parent,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,wormhole,blackhole,69,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
cross_attack,cart,wormhole,dio_suppression,69,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
