model,source_family,target_family,adaptation_seed_count,splits,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_fpr
cart,grayhole,sinkhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,sinkhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,sinkhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,sybil,0,1,0.7222,0.0,0.0,0.0,0.0
cart,grayhole,sybil,1,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,sybil,2,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,sybil,3,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,wormhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,grayhole,wormhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,wormhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,wormhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,worst_parent,0,1,0.7333,1.0,0.04,0.0769,0.0
cart,grayhole,worst_parent,1,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,worst_parent,2,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,worst_parent,3,1,1.0,1.0,1.0,1.0,0.0
cart,increase_rank,blackhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,increase_rank,blackhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,increase_rank,blackhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,increase_rank,blackhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,increase_rank,dio_suppression,0,1,0.7222,0.5,0.28,0.359,0.1077
cart,increase_rank,dio_suppression,1,1,0.75,0.5833,0.35,0.4375,0.0962
cart,increase_rank,dio_suppression,2,1,0.7593,0.5833,0.4667,0.5185,0.1282
cart,increase_rank,dio_suppression,3,1,0.75,1.0,0.1,0.1818,0.0
cart,increase_rank,dis_flood,0,1,0.7,0.4167,0.2,0.2703,0.1077
cart,increase_rank,dis_flood,1,1,1.0,1.0,1.0,1.0,0.0
cart,increase_rank,dis_flood,2,1,1.0,1.0,1.0,1.0,0.0
cart,increase_rank,dis_flood,3,1,0.9167,0.7692,1.0,0.8696,0.1154
cart,increase_rank,grayhole,0,1,0.7,0.4167,0.2,0.2703,0.1077
cart,increase_rank,grayhole,1,1,0.7639,1.0,0.15,0.2609,0.0
cart,increase_rank,grayhole,2,1,0.9815,1.0,0.9333,0.9655,0.0
cart,increase_rank,grayhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,increase_rank,sinkhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,increase_rank,sinkhole,1,1,0.8056,0.5882,1.0,0.7407,0.2692
cart,increase_rank,sinkhole,2,1,0.8889,0.7143,1.0,0.8333,0.1538
cart,increase_rank,sinkhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,increase_rank,sybil,0,1,0.7,0.4167,0.2,0.2703,0.1077
cart,increase_rank,sybil,1,1,0.9306,1.0,0.75,0.8571,0.0
cart,increase_rank,sybil,2,1,0.9259,1.0,0.7333,0.8462,0.0
cart,increase_rank,sybil,3,1,1.0,1.0,1.0,1.0,0.0
cart,increase_rank,wormhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,increase_rank,wormhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,increase_rank,wormhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,increase_rank,wormhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,increase_rank,worst_parent,0,1,0.9222,0.7812,1.0,0.8772,0.1077
cart,increase_rank,worst_parent,1,1,1.0,1.0,1.0,1.0,0.0
cart,increase_rank,worst_parent,2,1,1.0,1.0,1.0,1.0,0.0
cart,increase_rank,worst_parent,3,1,0.9167,0.7692,1.0,0.8696,0.1154
cart,sinkhole,blackhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,sinkhole,blackhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,sinkhole,blackhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,sinkhole,blackhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,sinkhole,dio_suppression,0,1,0.7222,0.0,0.0,0.0,0.0
cart,sinkhole,dio_suppression,1,1,0.7222,0.5,0.05,0.0909,0.0192
cart,sinkhole,dio_suppression,2,1,0.7963,0.5769,1.0,0.7317,0.2821
cart,sinkhole,dio_suppression,3,1,0.75,0.5263,1.0,0.6897,0.3462
cart,sinkhole,dis_flood,0,1,0.7222,0.0,0.0,0.0,0.0
cart,sinkhole,dis_flood,1,1,1.0,1.0,1.0,1.0,0.0
cart,sinkhole,dis_flood,2,1,1.0,1.0,1.0,1.0,0.0
cart,sinkhole,dis_flood,3,1,1.0,1.0,1.0,1.0,0.0
cart,sinkhole,grayhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,sinkhole,grayhole,1,1,0.9444,1.0,0.8,0.8889,0.0
cart,sinkhole,grayhole,2,1,0.9815,1.0,0.9333,0.9655,0.0
cart,sinkhole,grayhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,sinkhole,increase_rank,0,1,0.7222,0.0,0.0,0.0,0.0
cart,sinkhole,increase_rank,1,1,0.8333,0.6818,0.75,0.7143,0.1346
cart,sinkhole,increase_rank,2,1,0.8519,0.6667,0.9333,0.7778,0.1795
cart,sinkhole,increase_rank,3,1,0.8611,0.6667,1.0,0.8,0.1923
cart,sinkhole,sybil,0,1,0.7222,0.0,0.0,0.0,0.0
cart,sinkhole,sybil,1,1,1.0,1.0,1.0,1.0,0.0
cart,sinkhole,sybil,2,1,1.0,1.0,1.0,1.0,0.0
