condition,family,model,feature_set,adaptation_seeds,selected_seeds,test_seeds,adaptation_windows,test_windows,n,accuracy,precision,recall,f1,f2,fpr,tp,tn,fp,fn
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,1,456789,"123456,234567,345678,567890",18,72,72,1.0,1.0,1.0,1.0,1.0,0.0,20,52,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,1,567890,"123456,234567,345678,456789",18,72,72,1.0,1.0,1.0,1.0,1.0,0.0,20,52,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,2,"123456,234567","345678,456789,567890",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,2,"123456,345678","234567,456789,567890",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,2,"123456,456789","234567,345678,567890",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,2,"123456,567890","234567,345678,456789",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,2,"234567,345678","123456,456789,567890",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,2,"234567,456789","123456,345678,567890",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,2,"234567,567890","123456,345678,456789",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,2,"345678,456789","123456,234567,567890",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,2,"345678,567890","123456,234567,456789",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,2,"456789,567890","123456,234567,345678",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
