app_missed_delta,app_reporting_nodes,app_rx_delta,app_tx_delta,attacker_node16_radio_tx,binary_run_label,blackhole_attack_enabled_events,blackhole_drop_events,dao_rx_count,dao_tx_count,dio_rx_count,dio_rx_low_rank_nonroot_count,dio_rx_nonroot_count,dio_rx_nonroot_rank_max,dio_rx_nonroot_rank_mean,dio_rx_nonroot_rank_min,dio_rx_nonroot_rank_range,dio_rx_rank_max,dio_rx_rank_mean,dio_rx_rank_min,dio_rx_rank_range,dio_suppression_attack_enabled_events,dio_suppression_events,dio_tx_count,dio_tx_rank_mean,dis_flood_attack_enabled_events,dis_flood_sent_events,dis_rx_count,dis_tx_count,family,grayhole_attack_enabled_events,grayhole_drop_events,increase_rank_advertised_rank_events,increase_rank_attack_enabled_events,mode,no_parent_events,nodes,own_neighbor_count_max,own_neighbor_count_mean,own_rank_max,own_rank_mean,own_rank_min,own_rank_range,own_state_sample_count,parent_found_events,parent_switch_count,parent_switch_to_nonroot_count,parent_switch_to_root_count,post_activation,radio_bytes,radio_interfered_count,radio_tx_count,root_node1_radio_tx,run_id,seed,significant_rank_update_count,sinkhole_advertised_rank_events,sinkhole_attack_enabled_events,state_low_rank_nonroot_pairs,state_low_rank_nonroot_senders,state_nonroot_rank_max,state_nonroot_rank_mean,state_nonroot_rank_min,state_nonroot_rank_range,state_receivers_exposed_low_rank_nonroot,stream_id,stream_sequence,sybil_attack_enabled_events,sybil_sent_dio_events,sybil_spoofed_dio_events,topology_edge_count,topology_max_depth,topology_max_parent_fanout,topology_mean_depth,topology_root_direct_children,topology_unique_parents,unique_dio_receivers,unique_dio_senders,unique_low_rank_nonroot_senders,unique_parent_targets,unique_radio_senders,window_end_s,window_label,window_start_s,wormhole_attack_enabled_events,wormhole_endpoint_radio_events,worst_parent_attack_enabled_events,worst_parent_selection_events
0,14,139,140,336,1,0,0,0,0,134,0,134,691,506.6567,256,435,691,506.6567,256,435,0,0,29,504.1034,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,701,499.125,128,573,16,0,0,0,0,0,39044,2212,1054,170,BH_ATTACK_N16_SEED345678,345678,0,0,0,0,0,706,519.6279,256,450,0,blackhole:attack:345678,21,0,0,0,15,4,4,2.8667,1,7,16,14,0,0,16,180,0,120,0,0,0,0
0,4,40,40,338,1,0,0,0,0,43,0,42,678,513.4762,256,422,678,504.5116,128,550,0,0,15,482.4,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,681,486.4375,128,553,16,0,0,0,0,0,38894,2266,1050,174,BH_ATTACK_N16_SEED345678,345678,0,0,0,0,0,702,516.1628,256,446,0,blackhole:attack:345678,22,0,0,0,15,4,4,2.8667,1,7,16,12,0,0,16,240,0,180,0,0,0,0
0,10,90,100,86,1,1,86,0,0,115,0,115,665,518.6,384,281,665,518.6,384,281,0,0,23,527.5217,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,675,484.5625,128,547,16,0,0,0,0,1,13850,987,380,0,BH_ATTACK_N16_SEED345678,345678,0,0,0,0,0,663,507.7519,256,407,0,blackhole:attack:345678,23,0,0,0,15,4,4,2.8667,1,7,15,14,0,0,15,300,1,240,0,0,0,0
0,12,5,120,84,1,0,84,0,0,10,0,10,658,504.1,384,274,658,504.1,384,274,0,0,10,504.1,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,655,475.5,128,527,16,0,0,0,0,1,12446,952,362,0,BH_ATTACK_N16_SEED345678,345678,0,0,0,0,0,663,507.2248,256,407,0,blackhole:attack:345678,24,0,0,0,15,4,4,2.8667,1,7,8,10,0,0,15,360,1,300,0,0,0,0
0,2,0,20,83,1,0,83,0,0,13,0,12,647,492.0,384,263,647,464.0,128,519,0,0,13,464.0,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,652,474.0,128,524,16,0,0,0,0,1,12349,908,355,1,BH_ATTACK_N16_SEED345678,345678,0,0,0,0,0,663,506.3876,256,407,0,blackhole:attack:345678,25,0,0,0,15,4,4,2.8667,1,7,9,13,0,0,16,420,1,360,0,0,0,0
0,14,0,140,85,1,0,85,0,0,73,0,73,650,503.6712,384,266,650,503.6712,384,266,0,0,20,525.65,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,650,473.25,128,522,16,0,0,0,0,1,13223,958,368,0,BH_ATTACK_N16_SEED345678,345678,0,0,0,0,0,663,502.6512,256,407,0,blackhole:attack:345678,26,0,0,0,15,4,4,2.8667,1,7,15,13,0,0,15,480,1,420,0,0,0,0
0,5,0,50,84,1,0,83,0,0,28,0,28,650,462.0714,256,394,650,462.0714,256,394,0,0,12,480.8333,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,650,472.625,128,522,16,0,0,0,0,1,12365,920,356,0,BH_ATTACK_N16_SEED345678,345678,0,0,0,0,0,663,501.5736,256,407,0,blackhole:attack:345678,27,0,0,0,15,4,4,2.8667,1,7,14,12,0,0,15,540,1,480,0,0,0,0
0,0,0,0,162,1,0,0,15,30,299,0,295,65535,14014.5559,297,65238,65535,13828.7826,128,65407,0,0,93,43162.7097,0,0,30,10,blackhole,0,0,0,0,attack,15,16,5,2.7333,970,696.9333,338,632,15,15,15,14,1,0,24301,1226,537,81,BH_ATTACK_N16_SEED456789,456789,0,0,0,0,0,65535,2388.0734,297,65238,0,blackhole:attack:456789,28,0,0,0,0,0,0,0.0,0,0,16,16,0,7,16,60,0,0,0,0,0,0
0,0,0,0,340,1,0,0,0,0,295,0,295,882,647.9492,256,626,882,647.9492,256,626,0,0,43,624.6279,0,0,0,0,blackhole,0,0,0,0,attack,0,16,12,6.875,912,603.8125,128,784,16,0,0,0,0,0,40683,2392,1080,172,BH_ATTACK_N16_SEED456789,456789,0,0,0,0,0,723,536.4031,256,467,0,blackhole:attack:456789,29,0,0,0,15,4,4,2.8667,1,7,16,15,0,0,16,120,0,60,0,0,0,0
0,14,140,140,353,1,0,0,0,0,133,0,132,705,510.2121,256,449,705,507.3383,128,577,0,0,25,500.56,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,723,501.375,128,595,16,0,0,0,0,0,40371,2467,1092,178,BH_ATTACK_N16_SEED456789,456789,0,0,0,0,0,722,519.6667,256,466,0,blackhole:attack:456789,30,0,0,0,15,4,4,2.8667,1,7,16,15,0,0,16,180,0,120,0,0,0,0
0,4,40,40,339,1,0,0,0,0,39,0,39,674,455.8462,256,418,674,455.8462,256,418,0,0,14,496.4286,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,674,485.75,128,546,16,0,0,0,0,0,38137,2348,1043,169,BH_ATTACK_N16_SEED456789,456789,0,0,0,0,0,690,515.876,256,434,0,blackhole:attack:456789,31,0,0,0,15,4,4,2.8667,1,7,14,11,0,0,16,240,0,180,0,0,0,0
0,10,91,100,82,1,1,82,0,0,102,0,101,660,517.7624,384,276,660,513.9412,128,532,0,0,19,491.7895,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,656,480.125,128,528,16,0,0,0,0,1,12829,982,355,1,BH_ATTACK_N16_SEED456789,456789,0,0,0,0,0,690,508.4496,256,434,0,blackhole:attack:456789,32,0,0,0,15,4,4,2.8667,1,7,15,13,0,0,16,300,1,240,0,0,0,0
0,10,4,100,84,1,0,84,0,0,28,0,28,665,584.6429,384,281,665,584.6429,384,281,0,0,16,533.75,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,665,475.5625,128,537,16,0,0,0,0,1,12864,1027,366,0,BH_ATTACK_N16_SEED456789,456789,0,0,0,0,0,665,505.1628,256,409,0,blackhole:attack:456789,33,0,0,0,15,4,4,2.8667,1,7,14,12,0,0,15,360,1,300,0,0,0,0
0,4,0,40,85,1,0,83,0,0,12,0,12,658,513.5,384,274,658,513.5,384,274,0,0,12,513.5,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,659,474.375,128,531,16,0,0,0,0,1,12394,989,358,0,BH_ATTACK_N16_SEED456789,456789,0,0,0,0,0,665,504.6744,256,409,0,blackhole:attack:456789,34,0,0,0,15,4,4,2.8667,1,7,8,11,0,0,15,420,1,360,0,0,0,0
0,14,0,140,85,1,0,84,0,0,39,0,39,658,542.5385,384,274,658,542.5385,384,274,0,0,13,547.1538,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,658,474.5,128,530,16,0,0,0,0,1,12699,1015,362,0,BH_ATTACK_N16_SEED456789,456789,0,0,0,0,0,660,504.4806,256,404,0,blackhole:attack:456789,35,0,0,0,15,4,4,2.8667,1,7,15,9,0,0,15,480,1,420,0,0,0,0
0,3,0,30,84,1,0,83,0,0,76,0,75,659,495.44,256,403,659,490.6053,128,531,0,0,19,480.3158,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,659,475.75,128,531,16,0,0,0,0,1,13063,1008,364,1,BH_ATTACK_N16_SEED456789,456789,0,0,0,0,0,660,501.7287,256,404,0,blackhole:attack:456789,36,0,0,0,15,4,4,2.8667,1,7,16,15,0,0,16,540,1,480,0,0,0,0
0,0,0,0,176,1,0,0,15,30,337,0,333,65535,12664.4505,271,65264,65535,12515.6499,128,65407,0,0,99,41231.9899,0,0,45,15,blackhole,0,0,0,0,attack,15,16,4,2.4,901,681.7333,338,563,15,15,15,14,1,0,26793,1311,591,84,BH_ATTACK_N16_SEED567890,567890,0,0,0,0,0,837,619.3465,271,566,0,blackhole:attack:567890,37,0,0,0,0,0,0,0.0,0,0,16,16,0,7,16,60,0,0,0,0,0,0
0,0,0,0,336,1,0,0,0,0,302,0,301,829,605.8173,256,573,829,604.2351,128,701,0,0,41,582.4634,0,0,0,0,blackhole,0,0,0,0,attack,0,16,12,8.0,837,578.75,128,709,16,0,0,0,0,0,39820,2186,1056,169,BH_ATTACK_N16_SEED567890,567890,0,0,0,0,0,711,543.9225,256,455,0,blackhole:attack:567890,38,0,0,0,15,4,4,2.8667,1,7,16,16,0,0,16,120,0,60,0,0,0,0
0,14,140,140,338,1,0,0,0,0,139,0,139,691,520.9209,256,435,691,520.9209,256,435,0,0,25,541.44,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,705,507.5625,128,577,16,0,0,0,0,0,38794,2142,1053,169,BH_ATTACK_N16_SEED567890,567890,0,0,0,0,0,669,516.031,256,413,0,blackhole:attack:567890,39,0,0,0,15,4,4,2.8667,1,7,16,15,0,0,16,180,0,120,0,0,0,0
0,4,40,40,344,1,0,0,0,0,30,0,29,656,446.4828,384,272,656,435.8667,128,528,0,0,16,481.25,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,666,484.875,128,538,16,0,0,0,0,0,38466,2164,1055,171,BH_ATTACK_N16_SEED567890,567890,0,0,0,0,0,669,515.1705,256,413,0,blackhole:attack:567890,40,0,0,0,15,4,4,2.8667,1,7,11,14,0,0,16,240,0,180,0,0,0,0
0,10,89,100,86,1,1,85,0,0,119,0,119,649,513.7143,256,393,649,513.7143,256,393,0,0,26,514.3077,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,652,480.3125,128,524,16,0,0,0,0,1,14164,981,385,0,BH_ATTACK_N16_SEED567890,567890,0,0,0,0,0,662,505.8992,256,406,0,blackhole:attack:567890,41,0,0,0,15,4,4,2.8667,1,7,16,15,0,0,15,300,1,240,0,0,0,0
0,13,5,130,83,1,0,83,0,0,16,0,16,642,593.8125,384,258,642,593.8125,384,258,0,0,9,556.5556,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,645,476.8125,128,517,16,0,0,0,0,1,12303,892,357,0,BH_ATTACK_N16_SEED567890,567890,0,0,0,0,0,649,504.7132,256,393,0,blackhole:attack:567890,42,0,0,0,15,4,4,2.8667,1,7,9,9,0,0,15,360,1,300,0,0,0,0
0,1,0,10,88,1,0,85,0,0,12,0,11,665,504.0909,384,281,665,472.75,128,537,0,0,12,472.75,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,640,473.625,128,512,16,0,0,0,0,1,12826,958,369,1,BH_ATTACK_N16_SEED567890,567890,0,0,0,0,0,665,504.3488,256,409,0,blackhole:attack:567890,43,0,0,0,15,4,4,2.8667,1,7,8,12,0,0,16,420,1,360,0,0,0,0
0,14,0,140,85,1,0,84,0,0,58,0,58,650,482.2414,384,266,650,482.2414,384,266,0,0,17,500.8235,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,659,474.5,128,531,16,0,0,0,0,1,13012,924,367,0,BH_ATTACK_N16_SEED567890,567890,0,0,0,0,0,665,505.5736,256,409,0,blackhole:attack:567890,44,0,0,0,15,4,4,2.8667,1,7,15,12,0,0,15,480,1,420,0,0,0,0
0,4,0,40,87,1,0,86,0,0,80,0,80,657,511.9875,256,401,657,511.9875,256,401,0,0,19,529.8421,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,658,475.9375,128,530,16,0,0,0,0,1,13320,931,372,0,BH_ATTACK_N16_SEED567890,567890,0,0,0,0,0,657,503.4109,256,401,0,blackhole:attack:567890,45,0,0,0,15,4,4,2.8667,1,7,16,14,0,0,15,540,1,480,0,0,0,0
