algorithm,episode,family,seed,defender_reward,adversary_q_sinkhole,adversary_q_sybil
dqn,214,sinkhole,123456,-9.26,10.4517,9.4292
dqn,215,sinkhole,234567,-4.36,9.538,9.4292
dqn,216,sinkhole,345678,-14.24,10.2433,9.4292
dqn,217,sinkhole,123456,-14.08,10.8188,9.4292
dqn,218,sinkhole,234567,0.98,9.049,9.4292
dqn,219,sybil,345678,-14.0,9.049,10.1148
dqn,220,sybil,123456,-4.08,9.049,9.2096
dqn,221,sybil,234567,-14.0,9.049,9.9281
dqn,222,sybil,345678,-14.0,9.049,10.5389
dqn,223,sybil,123456,-14.16,9.049,11.0821
dqn,224,sybil,234567,-14.0,9.049,11.5198
dqn,225,sybil,345678,-4.02,9.049,10.3948
dqn,226,sybil,123456,-14.0,9.049,10.9356
dqn,227,sybil,234567,-14.16,9.049,11.4192
dqn,228,sybil,345678,-14.0,9.049,11.8064
dqn,229,sybil,123456,-14.0,9.049,12.1354
dqn,230,sybil,234567,-14.0,9.049,12.4151
dqn,231,sybil,345678,-4.08,9.049,11.1648
dqn,232,sybil,123456,-14.0,9.049,11.5901
dqn,233,sybil,234567,-14.0,9.049,11.9516
dqn,234,sybil,345678,-14.0,9.049,12.2589
dqn,235,sybil,123456,-14.32,9.049,12.568
dqn,236,sybil,234567,-14.0,9.049,12.7828
dqn,237,sybil,345678,-14.0,9.049,12.9654
dqn,238,sybil,123456,-14.0,9.049,13.1206
dqn,239,sybil,234567,-14.02,9.049,13.2555
dqn,240,sybil,345678,-9.16,9.049,12.6412
ddqn,1,sybil,123456,-14.4,0.0,2.16
ddqn,2,sybil,234567,-14.46,0.0,4.005
ddqn,3,sybil,345678,-4.1,0.0,4.0192
ddqn,4,sybil,123456,-14.18,0.0,5.5434
ddqn,5,sinkhole,234567,-9.2,1.38,5.5434
ddqn,6,sybil,345678,-14.12,1.38,6.8299
ddqn,7,sybil,123456,-14.2,1.38,7.9354
ddqn,8,sybil,234567,-14.08,1.38,8.8571
ddqn,9,sybil,345678,-9.04,1.38,8.8845
ddqn,10,sybil,123456,-14.3,1.38,9.6968
ddqn,11,sybil,234567,-14.16,1.38,10.3663
ddqn,12,sybil,345678,-14.18,1.38,10.9384
ddqn,13,sinkhole,123456,-9.14,2.544,10.9384
ddqn,14,sybil,234567,-14.2,2.544,11.4276
ddqn,15,sybil,345678,-14.12,2.544,11.8315
ddqn,16,sybil,123456,-14.22,2.544,12.1897
ddqn,17,sybil,234567,-14.28,2.544,12.5033
ddqn,18,sinkhole,345678,-14.26,4.3014,12.5033
ddqn,19,sybil,123456,-4.16,4.3014,11.2518
ddqn,20,sybil,234567,-14.22,4.3014,11.697
ddqn,21,sinkhole,345678,-14.36,5.8102,11.697
ddqn,22,sybil,123456,-4.12,5.8102,10.5605
ddqn,23,sybil,234567,-14.18,5.8102,11.1034
ddqn,24,sybil,345678,-9.44,5.8102,10.8539
ddqn,25,sybil,123456,-14.4,5.8102,11.3858
ddqn,26,sinkhole,234567,-14.2,7.0687,11.3858
ddqn,27,sybil,345678,-4.04,7.0687,10.2839
ddqn,28,sybil,123456,-14.18,7.0687,10.8683
ddqn,29,sybil,234567,-14.2,7.0687,11.3681
ddqn,30,sybil,345678,-14.2,7.0687,11.7929
ddqn,31,sybil,123456,-9.08,7.0687,11.3859
ddqn,32,sybil,234567,-14.28,7.0687,11.8201
ddqn,33,sybil,345678,-9.36,7.0687,11.451
ddqn,34,sinkhole,123456,-14.08,8.1204,11.451
ddqn,35,sinkhole,234567,-9.22,8.2853,11.451
ddqn,36,sybil,345678,-9.26,8.2853,11.1224
ddqn,37,sinkhole,123456,-14.1,9.1575,11.1224
ddqn,38,sybil,234567,-14.1,9.1575,11.569
ddqn,39,sybil,345678,-4.14,9.1575,10.4547
ddqn,40,sinkhole,123456,-14.16,9.9079,10.4547
ddqn,41,sinkhole,234567,0.78,8.3047,10.4547
ddqn,42,sybil,345678,-14.2,8.3047,11.0165
ddqn,43,sybil,123456,-14.4,8.3047,11.524
ddqn,44,sybil,234567,-14.1,8.3047,11.9104
ddqn,45,sybil,345678,-14.08,8.3047,12.2358
ddqn,46,sinkhole,123456,-14.08,9.171,12.2358
ddqn,47,sybil,234567,-14.28,9.171,12.5425
ddqn,48,sybil,345678,-14.2,9.171,12.7911
ddqn,49,sinkhole,123456,-9.52,9.2233,12.7911
ddqn,50,sybil,234567,-14.4,9.2233,13.0324
ddqn,51,sinkhole,345678,-9.32,9.2378,13.0324
