run_id,condition,family,mode,binary_run_label,window_label,nodes,seed,window_start_s,window_end_s,post_activation,app_tx_delta,app_rx_delta,app_missed_delta,app_reporting_nodes,radio_tx_count,radio_bytes,radio_interfered_count,unique_radio_senders,attacker_node16_radio_tx,root_node1_radio_tx,dio_rx_count,dio_tx_count,dis_rx_count,dis_tx_count,dao_rx_count,dao_tx_count,parent_switch_count,parent_switch_to_root_count,parent_switch_to_nonroot_count,unique_parent_targets,parent_found_events,no_parent_events,significant_rank_update_count,unique_dio_senders,unique_dio_receivers,dio_rx_rank_min,dio_rx_rank_mean,dio_rx_rank_max,dio_rx_rank_range,dio_rx_nonroot_count,dio_rx_nonroot_rank_min,dio_rx_nonroot_rank_mean,dio_rx_nonroot_rank_max,dio_rx_nonroot_rank_range,dio_rx_low_rank_nonroot_count,unique_low_rank_nonroot_senders,dio_tx_rank_mean,state_nonroot_rank_min,state_nonroot_rank_mean,state_nonroot_rank_max,state_nonroot_rank_range,state_low_rank_nonroot_pairs,state_low_rank_nonroot_senders,state_receivers_exposed_low_rank_nonroot,own_state_sample_count,own_rank_min,own_rank_mean,own_rank_max,own_rank_range,own_neighbor_count_mean,own_neighbor_count_max,topology_edge_count,topology_unique_parents,topology_max_parent_fanout,topology_root_direct_children,topology_mean_depth,topology_max_depth,sinkhole_attack_enabled_events,sinkhole_advertised_rank_events,blackhole_attack_enabled_events,blackhole_drop_events,grayhole_attack_enabled_events,grayhole_drop_events,increase_rank_attack_enabled_events,increase_rank_advertised_rank_events,dis_flood_attack_enabled_events,dis_flood_sent_events,dio_suppression_attack_enabled_events,dio_suppression_events,worst_parent_attack_enabled_events,worst_parent_selection_events,wormhole_attack_enabled_events,wormhole_endpoint_radio_events,sybil_attack_enabled_events,sybil_spoofed_dio_events,sybil_sent_dio_events
SH_ATTACK_N16_SEED456789,BASELINE,sinkhole,attack,1,0,16,456789,0,60,0,0,0,0,0,537,24301,1226,16,162,81,299,93,30,10,15,30,15,1,14,7,15,15,0,16,16,128,13828.7826,65535,65407,295,297,14014.5559,65535,65238,0,0,43162.7097,297,2388.0734,65535,65238,0,0,0,15,338,696.9333,970,632,2.7333,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED456789,BASELINE,sinkhole,attack,1,0,16,456789,60,120,0,0,0,0,0,1080,40683,2392,16,340,172,295,43,0,0,0,0,0,0,0,0,0,0,0,15,16,256,647.9492,882,626,295,256,647.9492,882,626,0,0,624.6279,256,536.4031,723,467,0,0,0,16,128,603.8125,912,784,6.875,12,15,7,4,1,2.8667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED456789,BASELINE,sinkhole,attack,1,0,16,456789,120,180,0,140,140,0,14,1092,40371,2467,16,353,178,133,25,0,0,0,0,0,0,0,0,0,0,0,15,16,128,507.3383,705,577,132,256,510.2121,705,449,0,0,500.56,256,519.6667,722,466,0,0,0,16,128,501.375,723,595,8.125,13,15,7,4,1,2.8667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED456789,BASELINE,sinkhole,attack,1,0,16,456789,180,240,0,40,40,0,4,1043,38137,2348,16,339,169,39,14,0,0,0,0,0,0,0,0,0,0,0,11,14,256,455.8462,674,418,39,256,455.8462,674,418,0,0,496.4286,256,515.876,690,434,0,0,0,16,128,485.75,674,546,8.125,13,15,7,4,1,2.8667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED456789,BASELINE,sinkhole,attack,1,1,16,456789,240,300,1,100,100,0,10,1022,37823,2265,16,334,168,117,24,0,0,0,0,0,0,0,0,0,0,0,14,16,128,403.9487,660,532,116,128,406.3276,660,532,25,1,389.3333,128,486.2868,690,562,5,1,5,16,128,456.125,656,528,8.125,13,15,7,4,1,2.8667,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED456789,BASELINE,sinkhole,attack,1,1,16,456789,300,360,1,100,100,0,10,1046,38231,2347,16,338,169,33,17,0,0,0,0,0,0,0,0,0,0,0,14,15,128,496.0606,665,537,33,128,496.0606,665,537,5,1,472.2353,128,479.8915,665,537,5,1,5,16,128,427.5625,665,537,8.125,13,15,7,4,1,2.8667,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED456789,BASELINE,sinkhole,attack,1,1,16,456789,360,420,1,40,40,0,4,1051,38242,2314,16,348,171,21,21,0,0,0,0,0,0,0,0,0,0,0,11,10,128,299.9524,658,530,20,128,308.55,658,530,10,1,299.9524,128,477.3566,665,537,5,1,5,16,128,429.8125,659,531,8.125,13,15,7,4,1,2.8667,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED456789,BASELINE,sinkhole,attack,1,1,16,456789,420,480,1,140,140,0,14,1049,38488,2328,16,340,171,51,17,0,0,0,0,0,0,0,0,0,0,0,12,15,128,485.2745,658,530,51,128,485.2745,658,530,6,1,431.8235,128,473.3488,665,537,5,1,5,16,128,427.125,658,530,8.125,13,15,7,4,1,2.8667,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED456789,BASELINE,sinkhole,attack,1,1,16,456789,480,540,1,40,40,0,4,1058,38880,2346,16,340,171,76,19,0,0,0,0,0,0,0,0,0,0,0,14,15,256,378.1316,658,402,76,256,378.1316,658,402,0,0,419.4737,128,429.5736,660,532,5,1,5,16,128,427.25,650,522,8.125,13,15,7,4,1,2.8667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED567890,BASELINE,sinkhole,attack,1,0,16,567890,0,60,0,0,0,0,0,591,26793,1311,16,176,84,337,99,45,15,15,30,15,1,14,7,15,15,0,16,16,128,12515.6499,65535,65407,333,271,12664.4505,65535,65264,0,0,41231.9899,271,619.3465,837,566,0,0,0,15,338,681.7333,901,563,2.4,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
