model,family,mode,seed,window_start_s,window_label,prediction,adwin_alarm,model_reset,label_delay_windows,feature_count
river_gaussian_nb_adwin_reset,sinkhole,attack,567890,120,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,567890,180,0,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,567890,240,1,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,567890,300,1,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,567890,360,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,567890,420,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,567890,480,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,567890,0,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,567890,60,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,567890,120,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,567890,180,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,567890,240,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,567890,300,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,567890,360,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,567890,420,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,567890,480,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,567890,0,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,567890,60,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,567890,120,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,567890,180,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,567890,240,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,567890,300,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,567890,360,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,567890,420,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,567890,480,1,1,0,0,1,57
river_gaussian_nb,sinkhole,control,567890,0,0,0,0,0,1,57
