experiment,feature_set,train_windows,n,accuracy,precision,recall,f1,f2,fpr,tp,tn,fp,fn,adaptation_sinkhole_seeds,adaptation_windows,adaptation_seeds,test_seeds
adapt_3_sinkhole_seeds,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"123456,234567,567890","345678,456789"
adapt_3_sinkhole_seeds,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"123456,345678,456789","234567,567890"
adapt_3_sinkhole_seeds,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"123456,345678,567890","234567,456789"
adapt_3_sinkhole_seeds,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"123456,456789,567890","234567,345678"
adapt_3_sinkhole_seeds,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"234567,345678,456789","123456,567890"
adapt_3_sinkhole_seeds,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"234567,345678,567890","123456,456789"
adapt_3_sinkhole_seeds,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"234567,456789,567890","123456,345678"
adapt_3_sinkhole_seeds,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"345678,456789,567890","123456,234567"
adapt_0_sinkhole_seeds,coarse_plus_routing,90,90,0.7222,0,0.0,0,0,0.0,0,65,0,25,0,0,,"123456,234567,345678,456789,567890"
adapt_1_sinkhole_seeds,coarse_plus_routing,108,72,0.5,0.3571,1.0,0.5263,0.7353,0.6923,20,16,36,0,1,18,123456,"234567,345678,456789,567890"
adapt_1_sinkhole_seeds,coarse_plus_routing,108,72,0.5278,0.3704,1.0,0.5405,0.7463,0.6538,20,18,34,0,1,18,234567,"123456,345678,456789,567890"
adapt_1_sinkhole_seeds,coarse_plus_routing,108,72,0.5,0.3571,1.0,0.5263,0.7353,0.6923,20,16,36,0,1,18,345678,"123456,234567,456789,567890"
adapt_1_sinkhole_seeds,coarse_plus_routing,108,72,0.5,0.3571,1.0,0.5263,0.7353,0.6923,20,16,36,0,1,18,456789,"123456,234567,345678,567890"
adapt_1_sinkhole_seeds,coarse_plus_routing,108,72,0.5,0.3571,1.0,0.5263,0.7353,0.6923,20,16,36,0,1,18,567890,"123456,234567,345678,456789"
adapt_2_sinkhole_seeds,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"123456,234567","345678,456789,567890"
adapt_2_sinkhole_seeds,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"123456,345678","234567,456789,567890"
adapt_2_sinkhole_seeds,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"123456,456789","234567,345678,567890"
adapt_2_sinkhole_seeds,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"123456,567890","234567,345678,456789"
adapt_2_sinkhole_seeds,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"234567,345678","123456,456789,567890"
adapt_2_sinkhole_seeds,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"234567,456789","123456,345678,567890"
adapt_2_sinkhole_seeds,coarse_plus_routing,126,54,0.537,0.375,1.0,0.5455,0.75,0.641,15,14,25,0,2,36,"234567,567890","123456,345678,456789"
adapt_2_sinkhole_seeds,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"345678,456789","123456,234567,567890"
adapt_2_sinkhole_seeds,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"345678,567890","123456,234567,456789"
adapt_2_sinkhole_seeds,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"456789,567890","123456,234567,345678"
adapt_3_sinkhole_seeds,coarse_plus_routing,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"123456,234567,345678","456789,567890"
adapt_3_sinkhole_seeds,coarse_plus_routing,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"123456,234567,456789","345678,567890"
adapt_3_sinkhole_seeds,coarse_plus_routing,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"123456,234567,567890","345678,456789"
adapt_3_sinkhole_seeds,coarse_plus_routing,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"123456,345678,456789","234567,567890"
adapt_3_sinkhole_seeds,coarse_plus_routing,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"123456,345678,567890","234567,456789"
adapt_3_sinkhole_seeds,coarse_plus_routing,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"123456,456789,567890","234567,345678"
adapt_3_sinkhole_seeds,coarse_plus_routing,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"234567,345678,456789","123456,567890"
adapt_3_sinkhole_seeds,coarse_plus_routing,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"234567,345678,567890","123456,456789"
adapt_3_sinkhole_seeds,coarse_plus_routing,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"234567,456789,567890","123456,345678"
adapt_3_sinkhole_seeds,coarse_plus_routing,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"345678,456789,567890","123456,234567"
